"Stabr","Area_name","PCTPOVALL_2019"
"KS","Wabaunsee County",6.9
"KS","Wallace County",12.1
"KS","Washington County",9.5
"KS","Wichita County",11
"KS","Wilson County",13.3
"KS","Woodson County",14.3
"KS","Wyandotte County",20.6
"KY","Kentucky",16
"KY","Adair County",21.4
"KY","Allen County",16.8
"KY","Anderson County",10.2
"KY","Ballard County",15.5
"KY","Barren County",20.1
"KY","Bath County",19.4
"KY","Bell County",30.3
"KY","Boone County",7.1
"KY","Bourbon County",14.1
"KY","Boyd County",20.6
"KY","Boyle County",15.5
"KY","Bracken County",14.1
"KY","Breathitt County",29.2
"KY","Breckinridge County",18.3
"KY","Bullitt County",7.8
"KY","Butler County",18
"KY","Caldwell County",15.8
"KY","Calloway County",16.5
"KY","Campbell County",10.9
"KY","Carlisle County",15.5
"KY","Carroll County",15.2
"KY","Carter County",20
"KY","Casey County",25.2
"KY","Christian County",18.9
"KY","Clark County",13
"KY","Clay County",32.6
"KY","Clinton County",23.4
"KY","Crittenden County",19.2
"KY","Cumberland County",23
"KY","Daviess County",15.4
"KY","Edmonson County",16
"KY","Elliott County",27.7
"KY","Estill County",22.7
"KY","Fayette County",15.4
"KY","Fleming County",21.1
"KY","Floyd County",27.4
"KY","Franklin County",11.5
"KY","Fulton County",25.6
"KY","Gallatin County",13.3
"KY","Garrard County",15.7
"KY","Grant County",13.3
"KY","Graves County",17.9
"KY","Grayson County",20.3
"KY","Green County",18.6
"KY","Greenup County",15.9
"KY","Hancock County",12.2
"KY","Hardin County",10.7
"KY","Harlan County",31.1
"KY","Harrison County",15.3
"KY","Hart County",20.1
"KY","Henderson County",16.3
"KY","Henry County",14.7
"KY","Hickman County",16.9
"KY","Hopkins County",18.1
"KY","Jackson County",27.8
"KY","Jefferson County",14.2
"KY","Jessamine County",11
"KY","Johnson County",25.8
"KY","Kenton County",11.2
"KY","Knott County",30.5
"KY","Knox County",31.5
"KY","Larue County",15.4
"KY","Laurel County",21.4
"KY","Lawrence County",23.4
"KY","Lee County",34.9
"KY","Leslie County",32.3
"KY","Letcher County",28.9
"KY","Lewis County",23.2
"KY","Lincoln County",19.7
"KY","Livingston County",12.2
"KY","Logan County",15.3
"KY","Lyon County",14.5
"KY","McCracken County",15.5
"KY","McCreary County",34.5
"KY","McLean County",14
"KY","Madison County",17.7
"KY","Magoffin County",29.4
"KY","Marion County",16.8
"KY","Marshall County",11.8
"KY","Martin County",34.4
"KY","Mason County",15.7
"KY","Meade County",11.4
"KY","Menifee County",26.1
"KY","Mercer County",13.8
"KY","Metcalfe County",22.6
"KY","Monroe County",21.7
"KY","Montgomery County",15.8
"KY","Morgan County",26.5
"KY","Muhlenberg County",18.8
"KY","Nelson County",10.5
"KY","Nicholas County",17.3
"KY","Ohio County",15.6
"KY","Oldham County",4.9
"KY","Owen County",15.7
"KY","Owsley County",35.5
"KY","Pendleton County",12.4
"KY","Perry County",24.2
"KY","Pike County",24
"KY","Powell County",21.5
"KY","Pulaski County",22.5
"KY","Robertson County",22
"KY","Rockcastle County",21
"KY","Rowan County",23.3
"KY","Russell County",22.6
"KY","Scott County",8.6
"KY","Shelby County",9.4
"KY","Simpson County",12.5
"KY","Spencer County",7.3
"KY","Taylor County",16.4
"KY","Todd County",17.1
"KY","Trigg County",14.6
"KY","Trimble County",11.9
"KY","Union County",17.3
"KY","Warren County",15.4
"KY","Washington County",14.4
"KY","Wayne County",23.8
"KY","Webster County",16.3
"KY","Whitley County",22.6
"KY","Wolfe County",30.1
"KY","Woodford County",8.3
"LA","Louisiana",18.8
"LA","Acadia Parish",20.3
"LA","Allen Parish",21.6
"LA","Ascension Parish",9.6
"LA","Assumption Parish",18.8
"LA","Avoyelles Parish",24.4
"LA","Beauregard Parish",14.3
"LA","Bienville Parish",24.4
"LA","Bossier Parish",16.4
"LA","Caddo Parish",24.1
"LA","Calcasieu Parish",18.9
"LA","Caldwell Parish",19.5
"LA","Cameron Parish",13.7
"LA","Catahoula Parish",26.4
"LA","Claiborne Parish",32.5
"LA","Concordia Parish",27.5
"LA","De Soto Parish",18
"LA","East Baton Rouge Parish",17.7
"LA","East Carroll Parish",38.4
"LA","East Feliciana Parish",18.7
"LA","Evangeline Parish",28.6
"LA","Franklin Parish",25.8
"LA","Grant Parish",18.6
"LA","Iberia Parish",21.9
"LA","Iberville Parish",18.7
"LA","Jackson Parish",19.2
"LA","Jefferson Parish",14.6
"LA","Jefferson Davis Parish",19.1
"LA","Lafayette Parish",16.6
"LA","Lafourche Parish",17.5
"LA","La Salle Parish",16.9
"LA","Lincoln Parish",29.5
"LA","Livingston Parish",12
"LA","Madison Parish",41.1
"LA","Morehouse Parish",31
"LA","Natchitoches Parish",19.6
"LA","Orleans Parish",23.5
"LA","Ouachita Parish",23.9
"LA","Plaquemines Parish",15.1
"LA","Pointe Coupee Parish",20
"LA","Rapides Parish",18.3
"LA","Red River Parish",23.9
"LA","Richland Parish",25.1
"LA","Sabine Parish",18.4
"LA","St. Bernard Parish",19.2
"LA","St. Charles Parish",11.1
"LA","St. Helena Parish",19.6
"LA","St. James Parish",16.6
"LA","St. John the Baptist Parish",16
"LA","St. Landry Parish",22.6
"LA","St. Martin Parish",18.7
"LA","St. Mary Parish",23.8
"LA","St. Tammany Parish",11.5
"LA","Tangipahoa Parish",21.7
"LA","Tensas Parish",28.9
"LA","Terrebonne Parish",19
"LA","Union Parish",19.4
"LA","Vermilion Parish",17
"LA","Vernon Parish",15.3
"LA","Washington Parish",24.9
"LA","Webster Parish",29.6
"LA","West Baton Rouge Parish",14.4
"LA","West Carroll Parish",21
"LA","West Feliciana Parish",22.1
"LA","Winn Parish",23.4
"ME","Maine",10.9
"ME","Androscoggin County",10.4
"ME","Aroostook County",15.5
"ME","Cumberland County",7.8
"ME","Franklin County",12.6
"ME","Hancock County",10.6
"ME","Kennebec County",11.5
"ME","Knox County",10.9
"ME","Lincoln County",11
"ME","Oxford County",13
"ME","Penobscot County",12.4
"ME","Piscataquis County",16.5
"ME","Sagadahoc County",8.6
"ME","Somerset County",18.3
"ME","Waldo County",13.7
"ME","Washington County",19.6
"ME","York County",7.9
"MD","Maryland",9.1
"MD","Allegany County",16
"MD","Anne Arundel County",5.8
"MD","Baltimore County",8.9
"MD","Calvert County",5.7
"MD","Caroline County",12.1
"MD","Carroll County",5.1
"MD","Cecil County",10.3
"MD","Charles County",6.4
"MD","Dorchester County",16.4
"MD","Frederick County",5.7
"MD","Garrett County",12.8
"MD","Harford County",6.7
"MD","Howard County",5
"MD","Kent County",12.4
"MD","Montgomery County",7.3
"MD","Prince George's County",8.7
"MD","Queen Anne's County",6
"MD","St. Mary's County",7.7
"MD","Somerset County",23.6
"MD","Talbot County",8.7
"MD","Washington County",12.3
"MD","Wicomico County",16
"MD","Worcester County",9.9
"MD","Baltimore city",20.4
"MA","Massachusetts",9.5
"MA","Barnstable County",6.5
"MA","Berkshire County",11.2
"MA","Bristol County",11.3
"MA","Dukes County",7.3
"MA","Essex County",8.8
"MA","Franklin County",9.3
"MA","Hampden County",13.8
"MA","Hampshire County",11.1
"MA","Middlesex County",6.9
"MA","Nantucket County",5.5
"MA","Norfolk County",5.8
"MA","Plymouth County",7.4
"MA","Suffolk County",16.7
"MA","Worcester County",9.4
"MI","Michigan",12.9
"MI","Alcona County",18
"MI","Alger County",12.6
"MI","Allegan County",10.8
"MI","Alpena County",13.9
"MI","Antrim County",9.6
"MI","Arenac County",17.2
"MI","Baraga County",13.7
"MI","Barry County",7.8
"MI","Bay County",13.4
"MI","Benzie County",9.6
"MI","Berrien County",15.9
"MI","Branch County",13.2
"MI","Calhoun County",13.9
"MI","Cass County",14.8
"MI","Charlevoix County",9.7
"MI","Cheboygan County",14.9
"MI","Chippewa County",18.3
"MI","Clare County",19.6
"MI","Clinton County",7.8
"MI","Crawford County",14
"MI","Delta County",13.8
"MI","Dickinson County",9.9
"MI","Eaton County",7.5
"MI","Emmet County",9.2
"MI","Genesee County",16.6
"MI","Gladwin County",13.5
"MI","Gogebic County",17.1
"MI","Grand Traverse County",7.2
"MI","Gratiot County",14.3
"MI","Hillsdale County",15.3
"MI","Houghton County",14.7
"MI","Huron County",13.7
"MI","Ingham County",17.3
"MI","Ionia County",11.5
"MI","Iosco County",14.2
"MI","Iron County",13.7
"MI","Isabella County",22.9
"MI","Jackson County",13.7
"MI","Kalamazoo County",13.3
"MI","Kalkaska County",13.9
"MI","Kent County",11.2
"MI","Keweenaw County",10.3
"MI","Lake County",20.2
"MI","Lapeer County",10.1
"MI","Leelanau County",7.1
"MI","Lenawee County",11.8
"MI","Livingston County",4.4
"MI","Luce County",19.2
"MI","Mackinac County",14.1
"MI","Macomb County",8.6
"MI","Manistee County",12.3
"MI","Marquette County",11.8
"MI","Mason County",13.9
"MI","Mecosta County",19.9
"MI","Menominee County",13.5
"MI","Midland County",9.7
"MI","Missaukee County",10.9
"MI","Monroe County",10.2
"MI","Montcalm County",12.4
"MI","Montmorency County",14.4
"MI","Muskegon County",13.5
"MI","Newaygo County",15.7
"MI","Oakland County",7.8
"MI","Oceana County",14.8
"MI","Ogemaw County",18.2
"MI","Ontonagon County",13.3
"MI","Osceola County",14.6
"MI","Oscoda County",15.4
"MI","Otsego County",10
"MI","Ottawa County",7.8
"MI","Presque Isle County",10.8
"MI","Roscommon County",15.3
"MI","Saginaw County",18.6
"MI","St. Clair County",10.4
"MI","St. Joseph County",12.9
"MI","Sanilac County",13.6
"MI","Schoolcraft County",14.3
"MI","Shiawassee County",10.9
"MI","Tuscola County",11.6
"MI","Van Buren County",13
"MI","Washtenaw County",13
"MI","Wayne County",19.8
"MI","Wexford County",12.4
"MN","Minnesota",8.9
"MN","Aitkin County",12.5
"MN","Anoka County",6.2
"MN","Becker County",10.2
"MN","Beltrami County",16.3
"MN","Benton County",8.6
"MN","Big Stone County",11
"MN","Blue Earth County",15.2
"MN","Brown County",7.4
"MN","Carlton County",9.1
"MN","Carver County",4.3
"MN","Cass County",11.4
"MN","Chippewa County",10.4
"MN","Chisago County",6.2
"MN","Clay County",11.9
"MN","Clearwater County",11.5
"MN","Cook County",8.9
"MN","Cottonwood County",10.8
"MN","Crow Wing County",10.5
"MN","Dakota County",6.3
"MN","Dodge County",5.6
"MN","Douglas County",6.3
"MN","Faribault County",12.2
"MN","Fillmore County",9.4
"MN","Freeborn County",9.6
"MN","Goodhue County",7.1
"MN","Grant County",8.8
"MN","Hennepin County",9.7
"MN","Houston County",7.8
"MN","Hubbard County",11.2
"MN","Isanti County",6.9
"MN","Itasca County",11.2
"MN","Jackson County",9.8
"MN","Kanabec County",10.1
"MN","Kandiyohi County",9.8
"MN","Kittson County",9.2
"MN","Koochiching County",13
"MN","Lac qui Parle County",9.5
"MN","Lake County",9
"MN","Lake of the Woods County",9.2
"MN","Le Sueur County",7.1
"MN","Lincoln County",10.1
"MN","Lyon County",10.6
"MN","McLeod County",6.3
"MN","Mahnomen County",21.3
"MN","Marshall County",7.5
"MN","Martin County",10.5
"MN","Meeker County",7.9
"MN","Mille Lacs County",11.4
"MN","Morrison County",8.9
"MN","Mower County",11.5
"MN","Murray County",8.5
"MN","Nicollet County",9.9
"MN","Nobles County",11
"MN","Norman County",10.4
"MN","Olmsted County",6.7
"MN","Otter Tail County",11
"MN","Pennington County",9.8
"MN","Pine County",11.6
"MN","Pipestone County",11.1
"MN","Polk County",10.8
"MN","Pope County",8.9
"MN","Ramsey County",12.4
"MN","Red Lake County",9.9
"MN","Redwood County",9.7
"MN","Renville County",10
"MN","Rice County",8.2
"MN","Rock County",8.7
"MN","Roseau County",6
"MN","St. Louis County",12.8
"MN","Scott County",4.2
"MN","Sherburne County",5.5
"MN","Sibley County",10.7
"MN","Stearns County",11.2
"MN","Steele County",6.3
"MN","Stevens County",11.9
"MN","Swift County",9.5
"MN","Todd County",11.8
"MN","Traverse County",11.9
"MN","Wabasha County",8.4
"MN","Wadena County",12.5
"MN","Waseca County",8.9
"MN","Washington County",4.6
"MN","Watonwan County",10.1
"MN","Wilkin County",9.1
"MN","Winona County",11
"MN","Wright County",5.2
"MN","Yellow Medicine County",9.6
"MS","Mississippi",19.5
"MS","Adams County",27.9
"MS","Alcorn County",17.3
"MS","Amite County",20.9
"MS","Attala County",24.1
"MS","Benton County",20.7
"MS","Bolivar County",36.6
"MS","Calhoun County",17.2
"MS","Carroll County",17.2
"MS","Chickasaw County",22.7
"MS","Choctaw County",20.9
"MS","Claiborne County",37.5
"MS","Clarke County",23.2
"MS","Clay County",29.7
"MS","Coahoma County",38.2
"MS","Copiah County",22.1
"MS","Covington County",21.3
"MS","DeSoto County",9.4
"MS","Forrest County",23.3
"MS","Franklin County",19.6
"MS","George County",16.6
"MS","Greene County",21.8
"MS","Grenada County",20.3
"MS","Hancock County",16.7
"MS","Harrison County",17.5
"MS","Hinds County",20.1
"MS","Holmes County",33.8
"MS","Humphreys County",37.1
"MS","Issaquena County",35.8
"MS","Itawamba County",12.8
"MS","Jackson County",15.1
"MS","Jasper County",20.5
"MS","Jefferson County",28.9
"MS","Jefferson Davis County",24.3
"MS","Jones County",23.8
"MS","Kemper County",28
"MS","Lafayette County",17.5
"MS","Lamar County",16
"MS","Lauderdale County",21.5
"MS","Lawrence County",19.7
"MS","Leake County",23.8
"MS","Lee County",14.6
"MS","Leflore County",35.7
"MS","Lincoln County",19.6
"MS","Lowndes County",17.2
"MS","Madison County",10.1
"MS","Marion County",23.8
"MS","Marshall County",20.3
"MS","Monroe County",17.9
"MS","Montgomery County",23.7
"MS","Neshoba County",21.7
"MS","Newton County",20.3
"MS","Noxubee County",29.2
"MS","Oktibbeha County",31.1
"MS","Panola County",22.8
"MS","Pearl River County",18.1
"MS","Perry County",19.9
"MS","Pike County",26.2
"MS","Pontotoc County",15.9
"MS","Prentiss County",15.7
"MS","Quitman County",35
"MS","Rankin County",11.1
"MS","Scott County",19.7
"MS","Sharkey County",33.4
"MS","Simpson County",17.8
"MS","Smith County",18.9
"MS","Stone County",18.5
"MS","Sunflower County",34
"MS","Tallahatchie County",37.9
"MS","Tate County",15.1
"MS","Tippah County",16.2
"MS","Tishomingo County",17
"MS","Tunica County",28.1
"MS","Union County",13
"MS","Walthall County",21.7
"MS","Warren County",20.1
"MS","Washington County",33.7
"MS","Wayne County",22.2
"MS","Webster County",17
"MS","Wilkinson County",31.2
"MS","Winston County",25.4
"MS","Yalobusha County",24.4
"MS","Yazoo County",36.4
"MO","Missouri",12.9
"MO","Adair County",19.2
"MO","Andrew County",8.9
"MO","Atchison County",12.9
"MO","Audrain County",16.3
"MO","Barry County",18.6
"MO","Barton County",15
"MO","Bates County",16.9
"MO","Benton County",16.7
"MO","Bollinger County",14.5
"MO","Boone County",17.2
"MO","Buchanan County",15.8
"MO","Butler County",22.5
"MO","Caldwell County",13.6
"MO","Callaway County",11.6
"MO","Camden County",13.5
"MO","Cape Girardeau County",14.6
"MO","Carroll County",13.8
"MO","Carter County",19.8
"MO","Cass County",7.9
"MO","Cedar County",17.9
"MO","Chariton County",12.5
"MO","Christian County",10.4
"MO","Clark County",14.2
"MO","Clay County",9.1
"MO","Clinton County",9.9
"MO","Cole County",10.6
"MO","Cooper County",11.8
"MO","Crawford County",15.6
"MO","Dade County",15.9
"MO","Dallas County",17.8
"MO","Daviess County",17.6
"MO","DeKalb County",14.6
"MO","Dent County",19
"MO","Douglas County",18.7
"MO","Dunklin County",26.7
"MO","Franklin County",9.3
"MO","Gasconade County",11.6
"MO","Gentry County",11.5
"MO","Greene County",14.4
"MO","Grundy County",18.7
"MO","Harrison County",15.4
"MO","Henry County",17.3
"MO","Hickory County",18.2
"MO","Holt County",11.8
"MO","Howard County",13
"MO","Howell County",20.8
"MO","Iron County",20.8
"MO","Jackson County",13.7
"MO","Jasper County",18.8
"MO","Jefferson County",8.4
"MO","Johnson County",11.4
"MO","Knox County",16.7
"MO","Laclede County",15.8
"MO","Lafayette County",10.7
"MO","Lawrence County",16.1
"MO","Lewis County",16.6
"MO","Lincoln County",9.4
"MO","Linn County",18.9
"MO","Livingston County",15
"MO","McDonald County",18.5
"MO","Macon County",12.5
"MO","Madison County",16.7
"MO","Maries County",14.3
"MO","Marion County",13.9
"MO","Mercer County",12.7
"MO","Miller County",15.1
"MO","Mississippi County",27.7
"MO","Moniteau County",11
"MO","Monroe County",13.4
"MO","Montgomery County",13.3
"MO","Morgan County",17.8
"MO","New Madrid County",22.5
"MO","Newton County",13.2
"MO","Nodaway County",17.8
"MO","Oregon County",20.6
"MO","Osage County",9.1
"MO","Ozark County",22.7
"MO","Pemiscot County",26.9
"MO","Perry County",9.1
"MO","Pettis County",12.9
"MO","Phelps County",17
"MO","Pike County",17.6
"MO","Platte County",5.3
"MO","Polk County",19.6
"MO","Pulaski County",14.6
"MO","Putnam County",15.7
"MO","Ralls County",10
"MO","Randolph County",16.5
"MO","Ray County",9.2
"MO","Reynolds County",21.7
"MO","Ripley County",19.7
"MO","St. Charles County",4.6
"MO","St. Clair County",19.3
"MO","Ste. Genevieve County",9.7
"MO","St. Francois County",17
"MO","St. Louis County",9.3
"MO","Saline County",15.7
"MO","Schuyler County",20.8
"MO","Scotland County",14.4
"MO","Scott County",17.9
"MO","Shannon County",22.6
"MO","Shelby County",15.8
"MO","Stoddard County",18.4
"MO","Stone County",15.4
"MO","Sullivan County",15.6
"MO","Taney County",12.6
"MO","Texas County",21
"MO","Vernon County",17.1
"MO","Warren County",10
"MO","Washington County",22.4
"MO","Wayne County",20.6
"MO","Webster County",16.2
"MO","Worth County",14.9
"MO","Wright County",19.6
"MO","St. Louis city",20.4
"MT","Montana",12.6
"MT","Beaverhead County",14.5
"MT","Big Horn County",26.1
"MT","Blaine County",21.3
"MT","Broadwater County",9
"MT","Carbon County",10.1
"MT","Carter County",14.2
"MT","Cascade County",14.2
"MT","Chouteau County",15.4
"MT","Custer County",13
"MT","Daniels County",11
"MT","Dawson County",11.8
"MT","Deer Lodge County",15.9
"MT","Fallon County",9.7
"MT","Fergus County",13.2
"MT","Flathead County",9.4
"MT","Gallatin County",10.3
"MT","Garfield County",16.4
"MT","Glacier County",25.7
"MT","Golden Valley County",19.7
"MT","Granite County",12.5
"MT","Hill County",15.7
"MT","Jefferson County",8
"MT","Judith Basin County",14.5
"MT","Lake County",17.2
"MT","Lewis and Clark County",9.4
"MT","Liberty County",19
"MT","Lincoln County",17.4
"MT","McCone County",14.5
"MT","Madison County",9.7
"MT","Meagher County",15.7
"MT","Mineral County",15.6
"MT","Missoula County",11.8
"MT","Musselshell County",16.5
"MT","Park County",11.8
"MT","Petroleum County",14.8
"MT","Phillips County",14.3
"MT","Pondera County",17.5
"MT","Powder River County",13.8
"MT","Powell County",16.3
"MT","Prairie County",13.1
"MT","Ravalli County",11.2
"MT","Richland County",8.8
"MT","Roosevelt County",24.3
"MT","Rosebud County",16.3
"MT","Sanders County",16.7
"MT","Sheridan County",12.3
"MT","Silver Bow County",15.3
"MT","Stillwater County",9.3
"MT","Sweet Grass County",10.3
"MT","Teton County",13.5
"MT","Toole County",15.8
"MT","Treasure County",12.2
"MT","Valley County",12.8
"MT","Wheatland County",18.3
"MT","Wibaux County",11.3
"MT","Yellowstone County",11.3
"NE","Nebraska",9.9
"NE","Adams County",10.6
"NE","Antelope County",12.2
"NE","Arthur County",13.6
"NE","Banner County",11.3
"NE","Blaine County",15.9
"NE","Boone County",10
"NE","Box Butte County",10.3
"NE","Boyd County",14.1
"NE","Brown County",11.6
"NE","Buffalo County",11.6
"NE","Burt County",10.1
"NE","Butler County",8.2
"NE","Cass County",5.3
"NE","Cedar County",8.6
"NE","Chase County",9.1
"NE","Cherry County",10.7
"NE","Cheyenne County",10.1
"NE","Clay County",10.6
"NE","Colfax County",8.2
"NE","Cuming County",8.9
"NE","Custer County",11.8
"NE","Dakota County",10.6
"NE","Dawes County",16.4
"NE","Dawson County",11.9
"NE","Deuel County",11.2
"NE","Dixon County",8.7
"NE","Dodge County",9.5
"NE","Douglas County",10.2
"NE","Dundy County",13.4
"NE","Fillmore County",8.5
"NE","Franklin County",14.3
"NE","Frontier County",12.9
"NE","Furnas County",12.2
"NE","Gage County",11.2
"NE","Garden County",15
"NE","Garfield County",12.1
"NE","Gosper County",8.9
"NE","Grant County",9.6
"NE","Greeley County",12.5
"NE","Hall County",10.2
"NE","Hamilton County",6.5
"NE","Harlan County",11
"NE","Hayes County",15
"NE","Hitchcock County",11.3
"NE","Holt County",11.1
"NE","Hooker County",8.2
"NE","Howard County",10.1
"NE","Jefferson County",9.5
"NE","Johnson County",11.2
"NE","Kearney County",7.7
"NE","Keith County",11.1
"NE","Keya Paha County",18.9
"NE","Kimball County",12.2
"NE","Knox County",12.2
"NE","Lancaster County",10.7
"NE","Lincoln County",10.8
"NE","Logan County",8.9
"NE","Loup County",15.2
"NE","McPherson County",12.6
"NE","Madison County",10.2
"NE","Merrick County",11
"NE","Morrill County",13.2
"NE","Nance County",10.3
"NE","Nemaha County",11.8
"NE","Nuckolls County",11.2
"NE","Otoe County",8.3
"NE","Pawnee County",13.1
"NE","Perkins County",9.5
"NE","Phelps County",10
"NE","Pierce County",9.3
"NE","Platte County",9
"NE","Polk County",6.9
"NE","Red Willow County",12
"NE","Richardson County",12.3
"NE","Rock County",13.9
"NE","Saline County",9.2
"NE","Sarpy County",5.9
"NE","Saunders County",6.9
"NE","Scotts Bluff County",13
"NE","Seward County",7.2
"NE","Sheridan County",14.5
"NE","Sherman County",12.4
"NE","Sioux County",15.9
"NE","Stanton County",7
"NE","Thayer County",10.8
"NE","Thomas County",13.9
"NE","Thurston County",24.9
"NE","Valley County",10.4
"NE","Washington County",6.8
"NE","Wayne County",11.8
"NE","Webster County",12.3
"NE","Wheeler County",12.3
"NE","York County",9.4
"NV","Nevada",12.7
"NV","Churchill County",11.7
"NV","Clark County",13.3
"NV","Douglas County",8.1
"NV","Elko County",11
"NV","Esmeralda County",13.8
"NV","Eureka County",9.9
"NV","Humboldt County",11
"NV","Lander County",10.9
"NV","Lincoln County",13.8
"NV","Lyon County",10.2
"NV","Mineral County",15.9
"NV","Nye County",16.1
"NV","Pershing County",17.6
"NV","Storey County",7
"NV","Washoe County",10.7
"NV","White Pine County",13.7
"NV","Carson City",12.2
"NH","New Hampshire",7.5
"NH","Belknap County",8.6
"NH","Carroll County",9
"NH","Cheshire County",9.7
"NH","Coos County",13.9
"NH","Grafton County",9.2
"NH","Hillsborough County",7.5
"NH","Merrimack County",6.4
"NH","Rockingham County",5.1
"NH","Strafford County",8.8
"NH","Sullivan County",10.1
"NJ","New Jersey",9.1
"NJ","Atlantic County",11.3
"NJ","Bergen County",5.7
"NJ","Burlington County",5.7
"NJ","Camden County",10.7
"NJ","Cape May County",9.8
"NJ","Cumberland County",13.8
"NJ","Essex County",13.8
"NJ","Gloucester County",7.5
"NJ","Hudson County",13.7
"NJ","Hunterdon County",4
"NJ","Mercer County",11.9
"NJ","Middlesex County",8.5
"NJ","Monmouth County",6.2
"NJ","Morris County",5.3
"NJ","Ocean County",9
"NJ","Passaic County",13.3
"NJ","Salem County",11.4
"NJ","Somerset County",5.4
"NJ","Sussex County",5.2
"NJ","Union County",9.1
"NJ","Warren County",7.1
"NM","New Mexico",17.5
"NM","Bernalillo County",15.5
"NM","Catron County",20.6
"NM","Chaves County",18.1
"NM","Cibola County",25.5
"NM","Colfax County",17
"NM","Curry County",18.7
"NM","DeBaca County",18.6
"NM","Dona Ana County",23.8
"NM","Eddy County",11.2
"NM","Grant County",18.1
"NM","Guadalupe County",23.5
"NM","Harding County",15.4
"NM","Hidalgo County",22.9
"NM","Lea County",15.1
"NM","Lincoln County",13.7
"NM","Los Alamos County",3.5
"NM","Luna County",23.8
"NM","McKinley County",30.1
"NM","Mora County",21.2
"NM","Otero County",20.1
"NM","Quay County",21.7
"NM","Rio Arriba County",22.2
"NM","Roosevelt County",18.8
"NM","Sandoval County",10
"NM","San Juan County",19.9
"NM","San Miguel County",23.8
"NM","Santa Fe County",12.4
"NM","Sierra County",27.6
"NM","Socorro County",26
"NM","Taos County",18.2
"NM","Torrance County",21.6
"NM","Union County",20.3
"NM","Valencia County",17.6
"NY","New York",13.1
"NY","Albany County",11.7
"NY","Allegany County",17.9
"NY","Bronx County",26.2
"NY","Broome County",17.8
"NY","Cattaraugus County",14.7
"NY","Cayuga County",13.8
"NY","Chautauqua County",16.3
"NY","Chemung County",14.1
"NY","Chenango County",13.7
"NY","Clinton County",14.8
"NY","Columbia County",10.1
"NY","Cortland County",17.3
"NY","Delaware County",12.6
"NY","Dutchess County",8.6
"NY","Erie County",13.3
"NY","Essex County",12.4
"NY","Franklin County",18.1
"NY","Fulton County",16.4
"NY","Genesee County",10.5
"NY","Greene County",12.6
"NY","Hamilton County",9.8
"NY","Herkimer County",13.7
"NY","Jefferson County",14.6
"NY","Kings County",17.7
"NY","Lewis County",12.4
"NY","Livingston County",13.8
"NY","Madison County",9.8
"NY","Monroe County",12.7
"NY","Montgomery County",15.9
"NY","Nassau County",5.6
"NY","New York County",14.1
"NY","Niagara County",12.4
"NY","Oneida County",14.6
"NY","Onondaga County",13.8
"NY","Ontario County",8.1
"NY","Orange County",12.3
"NY","Orleans County",13.2
"NY","Oswego County",15.6
"NY","Otsego County",16.2
"NY","Putnam County",5.2
"NY","Queens County",11
"NY","Rensselaer County",11.5
"NY","Richmond County",9.1
"NY","Rockland County",12.5
"NY","St. Lawrence County",18.9
"NY","Saratoga County",6
"NY","Schenectady County",12.1
"NY","Schoharie County",12.1
"NY","Schuyler County",15.7
"NY","Seneca County",13.7
"NY","Steuben County",15
"NY","Suffolk County",6.8
"NY","Sullivan County",16.1
"NY","Tioga County",9.4
"NY","Tompkins County",16.9
"NY","Ulster County",12
"NY","Warren County",10.1
"NY","Washington County",11.9
"NY","Wayne County",11.4
"NY","Westchester County",8.4
"NY","Wyoming County",9.9
"NY","Yates County",13.9
"NC","North Carolina",13.6
"NC","Alamance County",14.6
"NC","Alexander County",11.7
"NC","Alleghany County",16.9
"NC","Anson County",21.4
"NC","Ashe County",14.6
"NC","Avery County",16.4
"NC","Beaufort County",17.6
"NC","Bertie County",24.2
"NC","Bladen County",21.2
"NC","Brunswick County",10.2
"NC","Buncombe County",12.2
"NC","Burke County",18.4
"NC","Cabarrus County",7.9
"NC","Caldwell County",12
"NC","Camden County",7.6
"NC","Carteret County",10.4
"NC","Caswell County",16.2
"NC","Catawba County",13.3
"NC","Chatham County",8.7
"NC","Cherokee County",17.7
"NC","Chowan County",18.5
"NC","Clay County",14
"NC","Cleveland County",19
"NC","Columbus County",22.3
"NC","Craven County",13.8
"NC","Cumberland County",18
"NC","Currituck County",8.8
"NC","Dare County",8.9
"NC","Davidson County",15.2
"NC","Davie County",10.9
"NC","Duplin County",17.7
"NC","Durham County",14
"NC","Edgecombe County",21
"NC","Forsyth County",15.2
"NC","Franklin County",11.6
"NC","Gaston County",11.6
"NC","Gates County",14.7
"NC","Graham County",16.8
"NC","Granville County",14.6
"NC","Greene County",20.2
"NC","Guilford County",16
"NC","Halifax County",23.8
"NC","Harnett County",15.6
"NC","Haywood County",10.6
"NC","Henderson County",10.6
"NC","Hertford County",23
"NC","Hoke County",16.9
"NC","Hyde County",19.2
"NC","Iredell County",8.2
"NC","Jackson County",19.3
"NC","Johnston County",12.5
"NC","Jones County",18.8
"NC","Lee County",14.2
"NC","Lenoir County",23.1
"NC","Lincoln County",9
"NC","McDowell County",13.6
"NC","Macon County",14.3
"NC","Madison County",14.6
"NC","Martin County",20.6
"NC","Mecklenburg County",10.3
"NC","Mitchell County",14.8
"NC","Montgomery County",16.1
"NC","Moore County",11.3
"NC","Nash County",16.4
"NC","New Hanover County",13
"NC","Northampton County",21.6
"NC","Onslow County",12.5
"NC","Orange County",13.4
